Timestamp,Open,High,Low,Close,Volume,Volumema
1410742800,122.5,123.5,122,123.5,19643900,25646890
1410829200,123,123,122,122.5,19248400,25877724
1410915600,123.5,125,123,124.5,23569510,25474201.5
1411002000,124.5,125,123.5,125,14791470,24765024.5
1411088400,125.5,126,125,125,30642860,25164373
1411347600,124,124,122,122,39412970,24996266.5
1411434000,123,123.5,122,122.5,15316730,24743850.5
1411520400,122,124,122,123,27634870,24684023
1411606800,123,124,121.5,122,23263730,24005257
1411693200,121,121.5,120.5,121,23608340,24103798
1411952400,122,122,120,120.5,54821600,25426940.5
1412038800,120,121,119,120,44152000,25813745.5
1412125200,120,122,120,121.5,42258380,26963998
1412211600,121,122.5,120.5,121,30795620,27271671.5
1412298000,122.5,125,122,124.5,52042940,28789354
1412557200,125,126,124,126,37323990,29649149
1412643600,125,125.5,123.5,125,40062170,30545089
1412730000,123.5,125,122.5,122.5,29379590,30540573
1412816400,124,125,123.5,125,35475520,31170905.5
1413162000,119,121.5,118,120.5,69350230,33639741
1413248400,120,121.5,119.5,121,31887790,34251935.5
1413334800,121.5,123,121,121.5,43948270,35486929
1413421200,121.5,124,120,121.5,45966480,36606777.5
1413507600,125,125.5,123.5,123.5,91823570,40458382.5
1413766800,125,126,124.5,126,38359120,40844195.5
1413853200,126,126,124.5,125,25647840,40155939
1413939600,127.5,129,127.5,129,64247980,42602501.5
1414026000,128,128.5,127.5,127.5,26518000,42546658
1414112400,127,127.5,125,125.5,42161680,43491555.5
1414371600,126.5,128,126.5,128,25145300,43568403.5
1414458000,129,129.5,127.5,128,35018670,42578257
1414544400,129,129.5,128,129,34730580,42107186
1414630800,128.5,129,127,128.5,35723760,41780455
1414717200,128,130.5,127.5,130.5,42202460,42350797
1414976400,132,132.5,130.5,131,45042090,42000754.5
1415062800,132,132,131,132,32216060,41745358
1415149200,131.5,132,131,132,22638260,40874162.5
1415235600,132.5,132.5,131.5,132,28429950,40826680.5
1415322000,131.5,131.5,130.5,131,16759450,39890877
1415581200,132.5,134.5,132,134.5,42735970,38560164
1415667600,135,135,133,134,20484610,37990005
1415754000,134.5,134.5,131.5,132,27434390,37164311
1415840400,133.5,134.5,132.5,134,24927090,36112341.5
1415926800,134,135,133.5,135,23733470,32707836.5
1416186000,135,135.5,132.5,133,23702760,31975018.5
1416272400,134,134.5,131,131.5,42774310,32831342
1416358800,133,136.5,132.5,136,71200310,33178958.5
1416445200,137.5,139,137,139,44216110,34063864
1416531600,139.5,139.5,137.5,138.5,30471110,33479335.5
1416790800,140,140.5,138,138.5,33408880,33892514.5
1416877200,138.5,140,138.5,139,42797860,34281474
1416963600,138.5,139,138,139,23201400,33705015
1417050000,140,142,140,140,26308350,33234244.5
1417136400,139,141.5,139,141.5,35814310,32914837
1417395600,139,142,138.5,140,41315830,32728524
1417482000,139.5,139.5,137.5,137.5,45981430,33416792.5
1417568400,137.5,139,136.5,138,38976370,34233698
1417654800,139,140,138.5,139,28276460,34226023.5
1417741200,138.5,139.5,137,137.5,27079940,34742048
1418000400,138,138.5,137,138,19672470,33588873
1418086800,138,139,137.5,138,31815890,34155437
1418173200,138,139,136,136,39845260,34775980.5
1418259600,135,136,134.5,134.5,32329260,35146089
1418346000,135,136,134.5,135,31504390,35534635
1418605200,134.5,136.5,134.5,136,44403690,36569681.5
1418691600,134.5,135.5,133,133,41273420,36494637
1418778000,133,133,130,130.5,70601250,36464684
1418864400,132,133,131,131.5,50471840,36777470.5
1418950800,134.5,138,134,138,44440660,37475948
1419210000,137.5,140,137,138.5,34676860,37539347
1419296400,139,140,137,137.5,19157680,36357338
1419382800,136,138,136,138,16722020,36033369
1419469200,137,138,137,137.5,7392192,35087561.1
1419555600,138,139,137,139,13183540,33956022.6
1419814800,138,141,138,141,35075380,33644000.1
1419901200,141,141.5,139,140,21846170,32437237.1
1419987600,139,141,139,141,18351770,31406007.1
1420419600,140.5,140.5,137.5,139.5,32104180,31597393.1
1420506000,137.5,137.5,133,133.5,66862000,33586496.1
1420592400,133.5,135,133.5,134,43766010,34791173.1
1420678800,136.5,138,136,138,42551470,35327952.1
1420765200,135,135.5,133,134,61805270,36425952.6
1421024400,132.5,133.5,132,132,30402710,36329625.1
1421110800,131,133,130.5,132.5,37851830,36646997.1
1421197200,132.5,133,130,130,48810400,36867332.6
1421283600,131.5,133,131.5,131.5,40645780,36835950.6
1421370000,140,140,136,137,124240700,39517923.1
1421629200,138.5,139.5,137.5,139,50065500,39497606.1
1421715600,139,139,137.5,138,32842630,38917704.6
1421802000,139.5,141,139.5,141,70581980,40712960.6
1421888400,141.5,142,139.5,140,43948290,41952491.1
1421974800,142.5,145,142.5,145,82359860,45234383.1
1422234000,145.5,145.5,143.5,145,46831340,47206340.5
1422320400,145.5,147,144.5,147,52945680,49194447.5
1422406800,146.5,147,145.5,146.5,45982270,49739792
1422493200,144,145,143,143.5,34541640,50374565.5
1422579600,145,145.5,141,141,43718180,51642886
1422838800,140.5,143,140.5,142.5,29247760,51500065
1422925200,143,144.5,142,144.5,27234910,49518710.5
1423011600,144.5,146.5,144,146,40455250,49353172.5
1423098000,145.5,146,143.5,145.5,23404810,48395839.5
1423184400,145.5,145.5,143,143,27359190,46673535.5
1423443600,143,143.5,141.5,142,26350630,46470931.5
1423530000,142,143,141.5,142.5,33337350,46245207.5
1423616400,146,149,146,148,71429250,47376150
1423702800,149.5,149.5,147.5,148.5,33659860,47026854
1423789200,148.5,150,148,148.5,38035670,42716602.5
1424739600,149,152,148.5,151,72656660,43846160.5
1424826000,152.5,154.5,152.5,154.5,48326780,44620368
1424912400,153.5,154,150.5,150.5,55653930,43873965.5
1425258000,151.5,153,148.5,149,41431870,43748144.5
1425344400,150,151,148.5,150.5,29205570,41090430
1425430800,150,151.5,149,150.5,32671810,40382453.5
1425517200,150,151,148.5,150,28946800,39182509.5
1425603600,149,149.5,148.5,149,31368110,38451801.5
1425862800,147.5,147.5,145,145.5,67213510,40085395
1425949200,145,145,144,144,46859210,40242446.5
1426035600,143.5,148,143,146,51828260,41371471.5
1426122000,147,148.5,146.5,148,32258790,41622665.5
1426208400,148,149.5,147,149,45624830,41881144.5
1426467600,149,149.5,146,146,36962550,42559031.5
1426554000,148.5,150,148.5,149,55770360,43979590
1426640400,151,154,150,153.5,70910780,46207597.5
1426726800,152.5,155,152.5,154,43157700,46698615
1426813200,151.5,154,151.5,154,37794580,45016881.5
1427072400,154,154,152.5,153.5,26369030,44652340
1427158800,153.5,153.5,151.5,151.5,36137800,44557446.5
1427245200,152,152.5,150.5,151,44501680,43149697.5
1427331600,145.5,147,144.5,145.5,157141500,48590433.5
1427418000,144,145.5,142.5,142.5,106832000,51149337
1427677200,142.5,144,142,142.5,59890230,52072255
1427763600,144,145.5,143,145.5,56698780,53446915.5
1427850000,145,145,143.5,144,38757190,53751184.5
1427936400,145,148,144.5,147,49298390,54768764
1428368400,146.5,147.5,145,146,33400700,54870393.5
1428454800,145.5,146,143,143,47547200,53887078
1428541200,144,145.5,143,143,46553110,53871773
1428627600,146,147,145,147,33908580,52975789
1428886800,146.5,147.5,146,147,23877200,52556709.5
1428973200,145,145.5,143.5,144,41575200,52354228
1429059600,143.5,144.5,141.5,143,71626320,54087416.5
1429146000,145,147,144.5,147,54551270,54026462
1429232400,143,144,142.5,142.5,76900680,54325957
1429491600,142,144,141.5,143,34378820,53887013
1429578000,142,143.5,141.5,142.5,36296610,53812114.5
1429664400,143.5,145,143,143.5,40631880,54525257
1429750800,145.5,147,145,147,47011740,55068954
1429837200,149,152.5,148.5,152.5,122814900,58984615
1430096400,153,153,150,151.5,57645930,54009836.5
1430182800,153.5,153.5,150.5,151.5,43295540,50833013.5
1430269200,150,151,148,148.5,37440140,49710509
1430355600,147,148.5,146.5,147,48982980,49324719
1430701200,148.5,148.5,146,147.5,30868640,48930291.5
1430787600,147.5,148,146,147,27598400,47845292
1430874000,145.5,148,145.5,147.5,18824210,47116467.5
1430960400,146,147.5,146,146.5,21908150,45834515
1431046800,146,147.5,146,146.5,20035650,44508642
1431306000,149,149,147,148.5,20402530,43833339.5
1431392400,147,148.5,147,147.5,20532500,43666104.5
1431478800,147.5,149,147,148,18885540,42531621.5
1431565200,148,148.5,146,146,39028650,40901738
1431651600,147,147,145,146.5,24331890,39390769
1431910800,147,147,145,146.5,22929380,36692204
1431997200,145.5,147.5,145,146.5,26321400,36289333
1432083600,146.5,147,146,146.5,26984910,35823748
1432170000,146,146.5,144.5,145.5,40904690,35837388.5
1432256400,146,147,145,145.5,22103850,34591994
1432515600,146.5,147.5,145.5,147.5,16323220,29267410
1432602000,148.5,148.5,146.5,146.5,15569730,27163600
1432688400,145.5,147,145,145,23866400,26192143
1432774800,147,147.5,146,147,35923780,26116325
1432861200,147,147.5,145.5,146,56658860,26500119
1433120400,145.5,146,144,145,31646860,26539030
1433206800,144.5,144.5,143.5,144,33433400,26830780
1433293200,143.5,144.5,143,143,29919690,27385554
1433379600,142,142.5,140,141,58396190,29209956
1433466000,139.5,140.5,139,140,42846690,30350508
1433725200,139.5,140,138.5,138.5,45528640,31606813.5
1433811600,138.5,140,138,139,31663810,32163379
1433898000,141,141.5,139.5,139.5,37133200,33075762
1433984400,141,144,141,143.5,44708480,33359753.5
1434070800,144,144.5,142.5,144.5,31493600,33717839
1434330000,144.5,144.5,142.5,143,23660780,33754409
1434416400,143,143,141,142,27302600,33803469
1434502800,143,143.5,142,142.5,31347570,34021602
1434589200,142,143,142,142,28627140,33407724.5
1434934800,142,143.5,142,142,28389800,33722022
1435021200,143,145,142.5,144.5,37291100,34770416
1435107600,144.5,145,143.5,145,18630320,34923445.5
1435194000,145,147,145,146.5,43741070,35917179
1435280400,147,147.5,145.5,146,33946980,35818339
1435539600,140.5,141,138.5,138.5,53096170,35640204.5
1435626000,139,140.5,138.5,140.5,45375820,36326652.5
1435712400,140,142.5,139,141,32575370,36283751
